,leo_open,leo_volume,leo_burn_amount,burn_amount_usd,btc_open,btc_volume,btc_usd_volume,burn_amount_usd_EMA,btc_usd_volume_EMA,m2dates,corr,corr_smoothed
2019-06-20 18:00:00,1.8844,386767.20685856,8897.0,16765.5068,9381.2,2992.51373414,28073369.84271417,13141.361846411997,12218621.633732667,737230.75,,
2019-06-20 21:00:00,1.9,273764.64826971,4850.0,9215.0,9578.2,1425.82545351,13656841.358809482,12987.3868720429,12275022.407265091,737230.875,,
2019-06-21 00:00:00,1.8927,380305.38605268,10021.0,18966.7467,9557.2,3490.89492746,33363181.000720713,13221.871571178472,13102009.018773155,737231.0,,
2019-06-21 03:00:00,1.89,115163.11639879,5207.0,9841.23,9723.2,1389.92996709,13514567.056009488,13089.29739191657,13118187.765331443,737231.125,,
2019-06-21 06:00:00,1.8598,176705.60862263,5077.0,9442.2046,9766.9,778.51291972,7603657.8356132675,12946.274145174744,12901931.68965622,737231.25,,
2019-06-21 09:00:00,1.8299,637716.10652379,9889.0,18095.881100000002,9756.7,2218.43443365,21644599.238792956,13148.219515952205,13244781.397465505,737231.375,,
2019-06-21 12:00:00,1.8183,136333.12376364,11350.0,20637.705,9845.0,3730.63417439,36728093.44686955,13441.92482905212,14165695.59548135,737231.5,,
2019-06-21 15:00:00,1.8522,40834.12784629,5160.0,9557.352,9818.8,1587.7923682,15590215.70488216,13289.588639677526,14221559.12918334,737231.625,,
2019-06-21 18:00:00,1.8519,199016.88750093,6996.0,12955.8924,9904.5,1513.74972379,14992934.139278054,13276.502512631349,14251809.129579213,737231.75,,
2019-06-21 21:00:00,1.8572,176273.16608354,10704.0,19879.4688,9941.3,7587.67626093,75431366.01278341,13535.442367037962,16651007.438724475,737231.875,,
2019-06-22 00:00:00,1.8348,144922.63589568,27068.0,49664.3664,10223.0,7377.14422711,75416545.43374553,14952.2629173502,18955538.340490006,737232.0,,
2019-06-22 03:00:00,1.8357,87677.47542051,14943.0,27430.865100000003,10740.8821561,4459.03550151,47893974.85158518,15441.619865689407,20090378.987983935,737232.125,,
2019-06-22 06:00:00,1.8248,43874.42213791,7711.0,14071.032799999999,10751.0,2035.86377172,21887571.40976172,15387.87135330943,20160857.122171298,737232.25,,
2019-06-22 09:00:00,1.8261,214739.29446091,13800.0,25200.18,10829.0,3504.56267901,37950909.25099929,15772.667770826707,20858506.22526259,737232.375,,
2019-06-22 12:00:00,1.8194,1023550.27904854,36056.0,65600.2864,10860.0,10394.15266449,112880497.9363614,17726.692030794286,24467211.782560583,737232.5,,
2019-06-22 15:00:00,1.8075,157268.16119574,20317.0,36722.9775,10788.85745064,3837.45316833,41401735.206619196,18471.644402135687,25131310.7403668,737232.625,,
2019-06-22 18:00:00,1.849,80855.47226896,13130.0,24277.37,10766.0,2478.60211768,26684630.39894288,18699.319915777425,25192225.23678155,737232.75,0.9653893548720441,
2019-06-22 21:00:00,1.8556,37083.88230572,9514.0,17654.1784,10697.0,2590.64896627,27712171.99219019,18658.333973982233,25291046.678170122,737232.875,0.9744274228346577,
2019-06-23 00:00:00,1.845,25734.67464142,8692.0,16036.74,10744.0,1938.36662885,20825811.060364403,18555.5263671594,25115939.399040487,737233.0,0.9791273408554607,
2019-06-23 03:00:00,1.8376,13514.96073187,4810.0,8838.856,10776.0,932.4111739,10047662.8099464,18174.480470408052,24525026.59162503,737233.125,0.9821842634617638,
2019-06-23 06:00:00,1.8379,123251.75458365,4772.0,8770.4588,10830.22332219,1062.72755374,11509576.737648876,17805.69530686264,24014616.79342989,737233.25,0.984430334801788,
2019-06-23 09:00:00,1.8483,595914.54584124,5692.0,10520.5236,10741.0,1099.0750570999999,11805165.188311098,17520.00229875038,23535814.76969974,737233.375,0.9855281242379429,
2019-06-23 12:00:00,1.8655,439061.84891031,5870.0,10950.484999999999,10666.0,1459.49269526,15566949.08764316,17262.374169387618,23223310.233148504,737233.5,0.9860615308083809,
2019-06-23 15:00:00,1.88,413143.861503,3979.0,7480.5199999999995,10812.0,1163.10489544,12575490.12949728,16878.772045097907,22805748.6604563,737233.625,0.9854253670349434,
